CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
0803700015328025,8,37,1,5328,25,Urbana,Típica,5.18,0.0,0.0,0.0,50.0,50.0,2,ALTO,0,0.2284872185047301,0.0,518.0,0
0803700016398037,8,37,1,6398,37,Urbana,Típica,3.5,0.0,17.58,0.0,0.0,0.0,2,MEDIO,0,0.3958401661721038,0.0,0.19897669130187606,0
0803700016398039,8,37,1,6398,39,Urbana,Típica,3.46,172.85,101.1,0.0,0.0,0.0,6,ALTO,0,0.46785597443470905,0.0,0.034220156265453466,0
0803700016398040,8,37,1,6398,40,Urbana,Típica,3.35,0.0,0.0,0.0,0.0,0.0,12,MEDIO,0,0.2623238375215759,0.0,335.0,0
0803700016398041,8,37,1,6398,41,Urbana,Típica,3.36,0.0,87.92,0.0,0.0,0.0,4,MEDIO,0,0.4556785652196222,0.0,0.038212214261344246,0
0803700016398042,8,37,1,6398,42,Urbana,Típica,3.38,0.0,35.9,0.0,0.0,0.0,2,MEDIO,0,0.3898238517310895,0.0,0.09412419938735729,0
0803700016398043,8,37,1,6398,43,Urbana,Típica,3.35,0.0,0.0,0.0,0.0,0.0,3,MEDIO,0,0.2623238375215759,0.0,335.0,0
0803700016398044,8,37,1,6398,44,Urbana,Típica,3.24,0.0,0.0,0.0,0.0,0.0,2,MEDIO,0,0.2541037012026519,0.0,324.0,0
0803700016398045,8,37,1,6398,45,Urbana,Típica,3.21,0.0,0.0,0.0,0.0,0.0,13,MEDIO,0,0.2541037012026519,0.0,321.0,0
080370001667A029,8,37,1,667A,29,Urbana,Típica,8.12,17.24,0.0,0.0,141.0,141.0,61,MEDIO,0,0.21275497718672098,0.0,811.9999999999999,0
