CVEGEO,CVE_MZA,TIPOMZA,total_incendios,acceso_bomberos_km,densidad_vial,poblacion_total,riesgo_base,densidad_incendios_500m,distancia_bomberos_m
0803700017983015,15,Típica,1.0,10.77,0.0,88,ALTO,0,10767.074431456795
0803700017983014,14,Típica,1.0,10.82,0.0,86,ALTO,0,10818.650340842985
0803700017930071,71,Típica,0.0,8.7,0.0,131,MEDIO,0,8698.860101299279
080370001222A101,101,Típica,0.0,3.93,0.0,3,MEDIO,0,3933.2210572645718
080370001222A066,66,Típica,0.0,3.92,0.0,47,MEDIO,0,3918.4881076208862
080370001222A047,47,Típica,1.0,3.69,18.18,171,ALTO,0,3691.5747098180996
0803700018318006,6,Típica,0.0,8.75,0.0,57,MEDIO,0,8749.828633878371
0803700018021013,13,Típica,0.0,12.53,0.0,34,MEDIO,0,12532.795236895141
0803700017983023,23,Típica,1.0,10.91,0.0,63,ALTO,0,10906.250587066526
0803700017979058,58,Típica,0.0,11.09,0.0,88,MEDIO,0,11085.172565008046
0803700017945068,68,Típica,0.0,6.81,0.0,151,MEDIO,0,6805.736623812948
0803700017767010,10,Típica,0.0,8.56,134.74,101,MEDIO,0,8563.179140625869
080370001222A115,115,Típica,0.0,4.05,0.0,281,MEDIO,0,4052.7190103467665
0803700015224107,107,Típica,0.0,4.38,0.0,82,MEDIO,0,4384.135519116919
080370001222A075,75,Típica,0.0,4.07,0.0,40,MEDIO,0,4068.6753881746986
080370001222A074,74,Típica,0.0,4.07,0.0,65,MEDIO,0,4070.90580763886
080370001222A073,73,Típica,0.0,4.18,0.0,116,MEDIO,0,4176.477263747823
080370001222A044,44,Típica,0.0,4.09,0.0,27,MEDIO,0,4090.27836307717
0803700018233002,2,Típica,1.0,7.38,0.0,80,ALTO,0,7376.925467744366
0803700018233001,1,Típica,2.0,7.45,0.0,68,ALTO,0,7450.944215266382
0803700018233014,14,Típica,1.0,7.34,0.0,54,ALTO,0,7342.171358587272
0803700018233013,13,Típica,0.0,7.24,0.0,301,MEDIO,0,7240.15665800389
0803700018233012,12,Típica,2.0,7.37,0.0,0,ALTO,0,7371.882402713377
0803700018229014,14,Típica,1.0,7.59,0.0,141,ALTO,0,7594.517072706631
0803700018229013,13,Típica,0.0,7.55,0.0,174,MEDIO,0,7546.751664783888
0803700018229012,12,Típica,2.0,7.49,0.0,56,ALTO,0,7487.294255935224
0803700018214018,18,Típica,1.0,7.0,0.0,82,ALTO,0,6998.861339297253
0803700018214017,17,Típica,1.0,6.96,0.0,50,ALTO,0,6959.775004288467
0803700018214015,15,Típica,1.0,6.86,0.0,105,ALTO,0,6864.408132149708
0803700018214014,14,Típica,1.0,6.82,74.51,114,ALTO,0,6818.232471083984
0803700017983013,13,Típica,0.0,10.74,0.0,80,MEDIO,0,10737.105588264494
0803700017983009,9,Típica,0.0,10.68,0.0,85,MEDIO,0,10678.205172255428
0803700017983008,8,Típica,1.0,10.85,14.84,395,ALTO,0,10848.075892215422
0803700018017082,82,Típica,0.0,11.32,82.7,50,MEDIO,0,11323.371751041217
0803700017979066,66,Típica,0.0,11.42,0.0,73,MEDIO,0,11422.562328467453
0803700017979065,65,Típica,0.0,10.91,0.0,86,MEDIO,0,10905.383273441286
0803700017979063,63,Típica,0.0,10.97,0.0,48,MEDIO,0,10972.234631351626
0803700017979049,49,Típica,0.0,11.23,0.0,61,MEDIO,0,11231.908012499101
0803700017979048,48,Típica,1.0,11.26,0.0,32,ALTO,0,11262.615000103244
0803700017979047,47,Típica,1.0,11.2,0.0,52,ALTO,0,11203.667064927844
0803700017979046,46,Típica,0.0,11.17,0.0,97,MEDIO,0,11170.11296361006
0803700017979045,45,Típica,0.0,11.23,0.0,42,MEDIO,0,11233.63236191827
0803700017979044,44,Típica,0.0,11.29,35.54,66,MEDIO,0,11292.179162904564
0803700017979031,31,Típica,1.0,11.88,0.0,134,ALTO,0,11884.169185756555
0803700017979030,30,Típica,4.0,11.83,71.83,97,ALTO,0,11829.999421616103
0803700017979028,28,Típica,1.0,11.78,0.0,79,ALTO,0,11784.083240768901
0803700017979011,11,Típica,0.0,11.46,0.0,160,MEDIO,0,11455.693795828203
0803700017979010,10,Típica,0.0,11.5,0.0,140,MEDIO,0,11498.087125681806
080370001795A050,50,Típica,0.0,7.56,0.0,59,MEDIO,0,7559.900208019855
0803700017945063,63,Típica,0.0,7.61,0.0,172,MEDIO,0,7610.845742675595
0803700017930065,65,Típica,0.0,8.59,0.0,87,MEDIO,0,8590.159089662637
0803700017930064,64,Típica,0.0,8.62,43.66,189,ALTO,0,8621.18320261074
0803700017930063,63,Típica,0.0,8.73,10.34,0,MEDIO,0,8734.468663731252
0803700017930062,62,Típica,0.0,8.78,0.0,114,MEDIO,0,8784.83629889928
0803700017930060,60,Típica,1.0,8.88,0.0,81,ALTO,0,8881.222236871667
0803700017930058,58,Típica,0.0,8.95,0.0,80,MEDIO,0,8946.104610337396
0803700017930057,57,Típica,0.0,8.92,0.0,60,MEDIO,0,8923.90750203979
0803700017930045,45,Típica,0.0,8.71,0.0,103,MEDIO,0,8710.26539844971
0803700017930044,44,Típica,0.0,8.66,0.0,109,MEDIO,0,8664.386222216723
0803700017930043,43,Típica,0.0,8.66,0.0,61,MEDIO,0,8662.498321577787
0803700017930042,42,Típica,0.0,8.62,0.0,89,MEDIO,0,8619.227152211675
0803700017930041,41,Típica,0.0,8.6,0.0,151,MEDIO,0,8598.002834124145
0803700017930040,40,Típica,0.0,8.55,0.0,93,MEDIO,0,8548.601194763163
0803700017930039,39,Típica,2.0,8.51,0.0,124,ALTO,0,8514.602450702414
0803700017930028,28,Típica,1.0,8.33,0.0,19,ALTO,0,8329.662194376022
0803700017930027,27,Típica,0.0,8.28,0.0,17,MEDIO,0,8281.535629391625
0803700017930026,26,Típica,0.0,8.29,0.0,96,MEDIO,0,8287.878163236448
0803700017930025,25,Típica,2.0,8.27,0.0,94,ALTO,0,8266.387193414494
0803700017930024,24,Típica,0.0,8.24,0.0,97,MEDIO,0,8242.601743281846
0803700017875023,23,Típica,1.0,7.67,0.0,0,ALTO,0,7671.361769257578
0803700017875002,2,Típica,1.0,7.69,0.0,75,ALTO,0,7689.468382475532
0803700017875001,1,Típica,2.0,7.73,0.0,95,ALTO,0,7730.379041325559
0803700017767023,23,Típica,1.0,8.22,163.54,50,ALTO,0,8222.995715777315
0803700017767022,22,Típica,1.0,8.25,0.0,33,ALTO,0,8252.546947658962
0803700017767021,21,Típica,0.0,8.27,157.17,44,ALTO,0,8272.660347604462
0803700017767019,19,Típica,1.0,8.33,137.47,85,ALTO,0,8327.748450750663
0803700017767018,18,Típica,1.0,8.36,0.0,85,ALTO,0,8355.080849832637
0803700017767017,17,Típica,1.0,8.38,128.33,49,ALTO,0,8382.992178424614
0803700017767016,16,Típica,2.0,8.41,0.0,85,ALTO,0,8410.279543743534
0803700017767005,5,Típica,1.0,8.42,131.93,83,ALTO,0,8424.833095826341
0803700017767004,4,Típica,0.0,8.4,0.0,70,MEDIO,0,8401.389183565818
0803700017767003,3,Típica,5.0,8.38,141.18,60,ALTO,0,8383.22832823716
080370001770A068,68,Típica,0.0,7.61,0.0,64,MEDIO,0,7613.304956943114
0803700017767020,20,Típica,0.0,8.3,0.0,59,MEDIO,0,8303.286223830935
0803700017574058,58,Típica,0.0,2.42,0.0,61,BAJO,0,2421.5694345682605
0803700017574057,57,Típica,0.0,2.43,0.0,67,BAJO,0,2431.738282282734
0803700017574006,6,Típica,0.0,2.66,0.0,110,BAJO,0,2658.9671742710016
080370001770A066,66,Típica,0.0,7.57,0.0,44,MEDIO,0,7572.81332129833
080370001770A065,65,Típica,0.0,7.49,0.0,206,MEDIO,0,7488.159162771217
0803700017682074,74,Típica,0.0,5.6,0.0,127,MEDIO,0,5599.18531904959
0803700017682053,53,Típica,0.0,4.79,0.0,101,MEDIO,0,4789.707982821238
0803700017983010,10,Típica,0.0,10.76,56.17,73,MEDIO,0,10759.936315140842
0803700015224097,97,Típica,0.0,4.61,0.0,43,MEDIO,0,4605.063142454973
080370001514A045,45,Típica,0.0,3.07,0.0,25,MEDIO,0,3069.2293037949867
0803700017682056,56,Típica,0.0,4.74,82.42,90,ALTO,0,4739.254246294364
0803700017682055,55,Típica,0.0,4.76,0.0,102,MEDIO,0,4758.298120984388
0803700015224021,21,Típica,0.0,4.88,0.0,32,MEDIO,0,4878.052686152605
0803700018426005,5,Típica,1.0,11.86,0.0,91,ALTO,0,11864.332979975114
0803700018229057,57,Típica,0.0,7.33,0.0,242,MEDIO,0,7334.342608400673
080370001222A062,62,Típica,0.0,4.04,0.0,30,MEDIO,0,4041.295532819896
0803700018233011,11,Típica,0.0,7.47,0.0,108,MEDIO,0,7470.244311584307
0803700017682075,75,Típica,0.0,4.94,76.39,118,MEDIO,0,4944.686200299964
0803700017682081,81,Típica,0.0,4.93,0.0,115,MEDIO,0,4929.966064012753
0803700018318008,8,Típica,1.0,8.67,32.23,22,ALTO,0,8674.730713723719
0803700018318005,5,Típica,1.0,8.64,70.66,33,ALTO,0,8644.539450334445
0803700018318004,4,Típica,0.0,8.77,0.0,39,MEDIO,0,8767.134782142175
0803700018318003,3,Típica,5.0,8.68,0.0,93,ALTO,0,8682.068281617849
0803700018318002,2,Típica,1.0,8.71,0.0,57,ALTO,0,8711.155930791125
0803700018318001,1,Típica,2.0,8.74,0.0,34,ALTO,0,8739.083494327206
0803700018303001,1,Típica,2.0,11.68,71.42,26,ALTO,0,11677.083268042463
0803700018286004,4,Típica,0.0,13.29,0.0,48,MEDIO,0,13292.186887934007
0803700018233056,56,Típica,0.0,7.57,0.0,41,MEDIO,0,7570.007383547609
0803700018233055,55,Típica,0.0,7.56,0.0,39,MEDIO,0,7558.443586898489
0803700018233054,54,Típica,0.0,7.66,0.0,122,MEDIO,0,7657.556477891153
0803700018233053,53,Típica,0.0,7.77,0.0,90,MEDIO,0,7766.4796525623
0803700018233052,52,Típica,0.0,7.67,0.0,158,MEDIO,0,7669.456572833673
0803700018233051,51,Típica,1.0,7.66,0.0,99,ALTO,0,7663.734145130834
0803700018233016,16,Típica,2.0,7.56,0.0,41,ALTO,0,7555.226769439797
0803700018233015,15,Típica,1.0,7.45,0.0,84,ALTO,0,7445.591069781221
0803700018229061,61,Típica,0.0,7.16,0.0,117,MEDIO,0,7158.631616221193
0803700018229060,60,Típica,1.0,7.21,0.0,99,ALTO,0,7209.123115236381
0803700018229059,59,Típica,0.0,7.29,0.0,72,MEDIO,0,7290.188156149416
0803700018229058,58,Típica,0.0,7.38,0.0,69,MEDIO,0,7378.393012555101
0803700018229049,49,Típica,0.0,7.18,0.0,169,MEDIO,0,7180.629033351543
0803700018229048,48,Típica,1.0,7.23,0.0,152,ALTO,0,7230.203052045114
0803700018229047,47,Típica,1.0,7.25,0.0,102,ALTO,0,7249.606758702179
0803700018229046,46,Típica,0.0,7.28,0.0,130,MEDIO,0,7280.363416552037
